index,mem_percent,mem_free,mem_available,mem_used
1411,15.8,44993044480,46211088384,7549067264
1412,16.5,44610494464,45828628480,7519145984
1413,16.4,44651081728,45869326336,7564775424
1414,16.2,44778541056,45996838912,7439147008
1415,16.2,44749844480,45968142336,7467663360
1416,16.1,44818894848,46037139456,7470403584
1417,16.1,44813643776,46031847424,7512240128
1418,16.0,44895485952,46113689600,7479832576
1419,15.8,44994105344,46212173824,7439896576
1420,16.3,44739276800,45957439488,7526817792
1421,16.2,44779798528,45997961216,7437856768
1422,16.3,44693073920,45911236608,7611174912
1423,16.2,44762275840,45980397568,7563505664
1424,16.1,44847366144,46065565696,7478362112
1425,16.0,44909572096,46127771648,7524315136
1426,16.1,44850499584,46068699136,7583055872
1427,15.9,44945072128,46163271680,7587020800
1428,16.4,44666974208,45885018112,7551094784
1429,16.4,44657410048,45875695616,7560257536
1430,16.3,44719960064,45938245632,7605534720
1431,16.3,44690472960,45908758528,7743180800
1432,16.2,44780732416,45998854144,7684108288
1433,16.1,44803616768,46021738496,7630520320
1434,16.0,44878340096,46096388096,7662870528
1435,15.8,44996464640,46214512640,7545741312
1436,16.4,44648071168,45866131456,7677939712
1437,16.4,44654596096,45872656384,7590129664
1438,16.3,44696899584,45914959872,7629774848
1439,16.2,44789440512,46007672832,7644266496
1440,15.9,44947836928,46165925888,7593959424
1441,15.8,44992724992,46210813952,7650263040
1442,15.7,45037936640,46255857664,7636238336
1443,15.4,45217337344,46435258368,7439917056
1444,16.3,44699099136,45917151232,7519105024
1445,16.1,44823601152,46041772032,7502192640
1446,16.4,44685570048,45903740928,7592116224
1447,16.3,44743344128,45961515008,7582449664
1448,16.2,44788310016,46006480896,7645310976
1449,16.0,44874485760,46092611584,7451467776
1450,15.9,44937920512,46156046336,7495860224
1451,15.8,44979716096,46197841920,7562223616
1452,15.9,44951556096,46169522176,7590662144
1453,15.9,44921765888,46139731968,7620452352
1454,16.1,44809093120,46027059200,7582830592
1455,16.1,44832133120,46050181120,7602094080
1456,15.9,44917334016,46135377920,7624605696
1457,15.8,44975304704,46193348608,7605452800
1458,15.9,44930637824,46148661248,7611424768
1459,15.8,45001601024,46219624448,7648620544
1460,16.5,44631003136,45848940544,7657369600
1461,16.3,44714106880,45932171264,7612170240
1462,16.0,44894867456,46112931840,7539232768
1463,16.1,44832264192,46050160640,7674163200
1464,15.8,45009645568,46227542016,7532945408
1465,15.9,44959174656,46177091584,7583141888
1466,15.9,44945338368,46163255296,7704809472
1467,15.8,44973338624,46191255552,7677140992
1468,16.0,44862435328,46080348160,7511011328
1469,16.0,44903956480,46121881600,7530512384
1470,15.6,45096665088,46314561536,7337865216
1471,15.5,45166305280,46384160768,7363039232
1472,15.4,45214429184,46432366592,7327850496
1473,15.2,45313597440,46531514368,7336734720
1474,15.0,45420003328,46637817856,7338536960
1475,15.0,45453905920,46671622144,7412842496
1476,14.8,45549105152,46766780416,7317721088
1477,14.7,45606879232,46824456192,7368151040
1478,14.5,45727887360,46945411072,7247249408
1479,18.4,43563044864,44781879296,8013414400
